EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM1250,29,26-35,Yes,Travel_Rarely,Sales,9,Marketing,Poor,Female,1,Sales Representative,Poor,Single,2760,Y,No,13,Average,2,2,2,2,2.0
RM1251,29,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,Good,Male,2,Healthcare Representative,Average,Single,6294,Y,Yes,12,Average,10,3,2,0,2.0
RM1259,29,26-35,No,Travel_Rarely,Research & Development,4,Technical Degree,Good,Female,1,Research Scientist,Poor,Divorced,2109,Y,No,13,Average,1,1,0,0,0.0
RM1314,29,26-35,Yes,Travel_Rarely,Human Resources,13,Human Resources,Poor,Male,1,Human Resources,Poor,Divorced,2335,Y,Yes,15,Average,4,2,2,2,0.0
RM1319,29,26-35,No,Travel_Frequently,Research & Development,20,Medical,Good,Male,1,Laboratory Technician,Good,Married,3812,Y,No,13,Average,11,11,8,3,10.0
RM1325,29,26-35,No,Travel_Rarely,Research & Development,29,Life Sciences,Good,Male,2,Healthcare Representative,Average,Divorced,6384,Y,No,17,Average,11,7,0,1,6.0
RM1330,29,26-35,No,Travel_Rarely,Human Resources,6,Medical,Good,Male,1,Human Resources,Poor,Married,2804,Y,No,11,Average,1,1,0,0,0.0
RM1333,29,26-35,Yes,Travel_Frequently,Research & Development,24,Life Sciences,Good,Male,1,Research Scientist,Good,Single,2439,Y,Yes,24,Good,1,1,0,1,0.0
RM1344,29,26-35,No,Travel_Rarely,Research & Development,7,Life Sciences,Good,Male,1,Laboratory Technician,Poor,Single,2062,Y,No,14,Average,11,3,2,1,2.0
RM1366,29,26-35,Yes,Travel_Frequently,Sales,24,Technical Degree,Average,Male,1,Sales Representative,Poor,Single,1091,Y,No,17,Average,1,1,0,0,0.0
RM1388,29,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Poor,Male,2,Healthcare Representative,Poor,Married,5373,Y,No,12,Average,6,5,3,0,2.0
RM1443,29,26-35,Yes,Travel_Rarely,Research & Development,1,Medical,Poor,Male,1,Research Scientist,Good,Married,4787,Y,Yes,14,Average,4,2,2,2,2.0
RM1460,29,26-35,No,Travel_Rarely,Research & Development,13,Other,Good,Male,2,Laboratory Technician,Poor,Married,4025,Y,Yes,13,Average,10,4,3,0,3.0
RM1461,29,26-35,No,Travel_Rarely,Research & Development,28,Medical,Good,Female,1,Research Scientist,Poor,Single,3785,Y,No,14,Average,5,5,4,0,4.0
RM008,30,26-35,No,Travel_Rarely,Research & Development,24,Life Sciences,Good,Male,1,Laboratory Technician,Average,Divorced,2693,Y,No,22,Good,1,1,0,0,3.0
RM033,30,26-35,No,Travel_Rarely,Research & Development,9,Medical,Good,Male,1,Laboratory Technician,Average,Single,2206,Y,No,13,Average,10,10,0,1,8.0
RM045,30,26-35,No,Travel_Frequently,Research & Development,1,Medical,Average,Female,2,Laboratory Technician,Good,Single,4011,Y,No,23,Good,12,12,8,3,7.0
RM081,30,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,2,Laboratory Technician,Good,Married,5126,Y,Yes,12,Average,10,10,8,3,0.0
RM089,30,26-35,No,Travel_Rarely,Research & Development,2,Life Sciences,Average,Male,2,Healthcare Representative,Good,Married,4152,Y,No,19,Average,11,11,10,10,8.0
RM093,30,26-35,No,Travel_Rarely,Sales,4,Medical,Average,Female,2,Sales Executive,Poor,Divorced,5209,Y,Yes,12,Average,11,11,8,2,7.0
RM121,30,26-35,No,Travel_Frequently,Research & Development,23,Life Sciences,Poor,Male,1,Research Scientist,Average,Divorced,2613,Y,No,25,Good,10,10,7,0,9.0
RM140,30,26-35,No,Travel_Rarely,Human Resources,9,Human Resources,Average,Male,2,Human Resources,Good,Married,6347,Y,Yes,19,Average,12,11,9,4,3.0
RM144,30,26-35,No,Travel_Rarely,Research & Development,18,Life Sciences,Poor,Female,1,Research Scientist,Average,Single,2632,Y,No,14,Average,5,5,4,0,3.0
RM146,30,26-35,No,Travel_Rarely,Research & Development,5,Technical Degree,Good,Female,1,Research Scientist,Poor,Divorced,3204,Y,No,14,Average,8,3,2,2,3.0
RM147,30,26-35,No,Travel_Rarely,Research & Development,2,Medical,Poor,Male,1,Laboratory Technician,Good,Single,2720,Y,No,13,Average,6,5,3,1,3.0
RM168,30,26-35,No,Travel_Rarely,Sales,5,Life Sciences,Poor,Female,3,Sales Executive,Good,Married,9419,Y,No,12,Average,12,10,9,7,4.0
RM174,30,26-35,No,Non_Travel,Research & Development,9,Medical,Average,Male,2,Laboratory Technician,Poor,Divorced,3072,Y,No,11,Average,12,12,9,6,10.0
RM212,30,26-35,No,Non_Travel,Research & Development,1,Life Sciences,Average,Male,3,Manufacturing Director,Average,Single,8474,Y,No,22,Good,12,11,8,5,8.0
RM215,30,26-35,Yes,Travel_Rarely,Research & Development,3,Technical Degree,Good,Female,1,Research Scientist,Poor,Single,2657,Y,Yes,11,Average,8,5,2,0,4.0
RM217,30,26-35,Yes,Travel_Frequently,Sales,26,Marketing,Average,Female,2,Sales Executive,Poor,Single,6696,Y,No,15,Average,9,6,3,0,1.0
RM325,30,26-35,No,Travel_Rarely,Research & Development,28,Medical,Good,Female,2,Research Scientist,Good,Married,5775,Y,No,13,Average,11,10,8,1,9.0
RM339,30,26-35,No,Travel_Rarely,Sales,5,Marketing,Good,Female,2,Sales Executive,Average,Divorced,6118,Y,No,13,Average,10,10,9,1,2.0
RM355,30,26-35,No,Non_Travel,Sales,25,Technical Degree,Good,Female,2,Sales Executive,Average,Married,4736,Y,Yes,12,Average,4,2,2,2,2.0
RM382,30,26-35,No,Travel_Rarely,Sales,2,Technical Degree,Average,Male,1,Sales Representative,Poor,Married,2476,Y,No,18,Average,1,1,0,0,0.0
RM386,30,26-35,Yes,Travel_Frequently,Research & Development,4,Technical Degree,Average,Male,1,Research Scientist,Good,Single,2285,Y,Yes,23,Good,3,1,0,0,0.0
RM403,30,26-35,No,Travel_Rarely,Sales,12,Technical Degree,Poor,Female,2,Sales Executive,Average,Single,6577,Y,No,11,Average,6,5,4,4,4.0
RM411,30,26-35,No,Travel_Rarely,Research & Development,2,Life Sciences,Average,Female,2,Manufacturing Director,Good,Single,6091,Y,No,20,Good,11,5,4,0,2.0
RM420,30,26-35,No,Non_Travel,Research & Development,3,Life Sciences,Average,Male,1,Laboratory Technician,Good,Married,2097,Y,No,15,Average,9,5,3,1,4.0
RM424,30,26-35,No,Non_Travel,Sales,22,Other,Average,Female,3,Sales Executive,Poor,Married,8412,Y,No,11,Average,10,9,8,7,8.0
RM427,30,26-35,No,Non_Travel,Research & Development,2,Medical,Average,Female,1,Laboratory Technician,Good,Single,2564,Y,No,14,Average,12,11,7,6,7.0
RM438,30,26-35,No,Travel_Rarely,Sales,7,Marketing,Good,Male,1,Sales Representative,Poor,Single,2983,Y,No,14,Average,4,3,2,1,2.0
RM481,30,26-35,Yes,Travel_Frequently,Sales,12,Life Sciences,Poor,Male,1,Sales Representative,Poor,Married,2033,Y,No,18,Average,1,1,0,0,0.0
RM502,30,26-35,No,Travel_Frequently,Research & Development,3,Medical,Average,Female,1,Research Scientist,Average,Divorced,2083,Y,No,20,Good,1,1,0,0,0.0
RM546,30,26-35,No,Travel_Rarely,Sales,27,Marketing,Average,Male,2,Sales Executive,Good,Divorced,5304,Y,No,23,Good,10,8,7,7,7.0
RM582,30,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,1,Laboratory Technician,Average,Married,3833,Y,No,21,Good,7,2,2,0,2.0
RM603,30,26-35,No,Travel_Rarely,Research & Development,2,Medical,Average,Female,2,Manufacturing Director,Good,Single,6877,Y,Yes,24,Good,12,0,0,0,0.0
RM624,30,26-35,No,Travel_Frequently,Research & Development,5,Life Sciences,Poor,Male,1,Research Scientist,Good,Divorced,3761,Y,No,12,Average,10,5,4,0,3.0
RM703,30,26-35,No,Travel_Rarely,Sales,8,Other,Average,Male,3,Sales Executive,Average,Divorced,7264,Y,No,11,Average,10,8,4,7,7.0
RM721,30,26-35,Yes,Travel_Rarely,Research & Development,22,Life Sciences,Poor,Female,1,Research Scientist,Average,Married,2132,Y,Yes,11,Average,7,5,2,0,1.0
RM731,30,26-35,No,Travel_Rarely,Research & Development,8,Life Sciences,Poor,Female,3,Research Director,Poor,Married,11416,Y,Yes,12,Average,9,8,7,1,7.0
RM733,30,26-35,Yes,Travel_Frequently,Research & Development,5,Medical,Poor,Female,1,Laboratory Technician,Poor,Single,2422,Y,No,17,Average,4,3,2,1,2.0
RM783,30,26-35,No,Travel_Rarely,Research & Development,20,Other,Average,Male,2,Manufacturing Director,Poor,Married,9957,Y,No,15,Average,7,6,2,0,2.0
RM845,30,26-35,No,Travel_Rarely,Sales,10,Marketing,Average,Male,2,Sales Executive,Average,Married,6578,Y,No,18,Average,10,10,3,1,4.0
RM866,30,26-35,No,Travel_Rarely,Sales,29,Life Sciences,Average,Male,2,Sales Executive,Poor,Divorced,4115,Y,No,19,Average,8,4,3,0,3.0
RM875,30,26-35,No,Travel_Rarely,Research & Development,7,Life Sciences,Average,Male,2,Laboratory Technician,Average,Divorced,3491,Y,No,13,Average,10,10,7,8,9.0
RM887,30,26-35,No,Travel_Rarely,Research & Development,1,Medical,Good,Male,1,Research Scientist,Poor,Married,3579,Y,Yes,21,Good,12,11,9,5,7.0
RM932,30,26-35,No,Non_Travel,Research & Development,9,Medical,Average,Female,2,Manufacturing Director,Average,Single,4695,Y,Yes,18,Average,10,8,4,1,7.0
RM942,30,26-35,No,Travel_Rarely,Research & Development,6,Technical Degree,Poor,Female,2,Laboratory Technician,Good,Married,4627,Y,No,12,Average,10,9,2,6,7.0
RM949,30,26-35,No,Travel_Rarely,Research & Development,17,Medical,Poor,Female,3,Manager,Poor,Married,11916,Y,Yes,23,Good,9,9,1,0,8.0
RM1014,30,26-35,No,Travel_Rarely,Sales,7,Marketing,Good,Female,2,Sales Executive,Poor,Divorced,4779,Y,No,14,Average,8,3,2,0,2.0
RM1050,30,26-35,No,Travel_Rarely,Sales,16,Life Sciences,Good,Male,2,Sales Executive,Average,Married,5301,Y,No,15,Average,4,2,1,2,2.0
RM1053,30,26-35,No,Non_Travel,Research & Development,7,Technical Degree,Average,Male,1,Research Scientist,Average,Divorced,1274,Y,No,13,Average,1,1,0,0,0.0
RM1065,30,26-35,No,Travel_Rarely,Human Resources,1,Life Sciences,Average,Male,1,Human Resources,Average,Divorced,2064,Y,No,21,Good,6,5,3,1,3.0
RM1107,30,26-35,Yes,Travel_Rarely,Sales,1,Life Sciences,Poor,Male,2,Sales Executive,Poor,Married,9714,Y,No,11,Average,10,10,8,6,7.0
RM1110,30,26-35,No,Travel_Rarely,Sales,29,Technical Degree,Average,Male,3,Sales Executive,Poor,Married,9250,Y,No,12,Average,9,4,2,1,3.0
RM1142,30,26-35,No,Travel_Rarely,Research & Development,7,Medical,Poor,Male,1,Research Scientist,Poor,Married,2141,Y,No,12,Average,6,6,4,1,1.0
RM1234,30,26-35,No,Travel_Rarely,Research & Development,16,Life Sciences,Poor,Male,1,Research Scientist,Good,Married,2862,Y,No,12,Average,10,10,0,0,8.0
RM1245,30,26-35,No,Travel_Frequently,Research & Development,2,Technical Degree,Good,Female,1,Research Scientist,Poor,Single,4968,Y,No,16,Average,10,9,7,0,7.0
RM1247,30,26-35,Yes,Travel_Frequently,Human Resources,8,Human Resources,Average,Female,1,Human Resources,Good,Divorced,2180,Y,No,11,Average,6,4,2,1,2.0
RM1252,30,26-35,No,Travel_Rarely,Sales,15,Marketing,Average,Male,3,Sales Executive,Poor,Divorced,7140,Y,No,11,Average,12,7,7,1,7.0
RM1260,30,26-35,No,Travel_Rarely,Research & Development,16,Life Sciences,Average,Male,2,Healthcare Representative,Average,Married,5294,Y,No,16,Average,10,7,0,1,7.0
RM1297,30,26-35,No,Travel_Rarely,Research & Development,10,Medical,Poor,Female,3,Manufacturing Director,Average,Single,9667,Y,No,14,Average,9,7,7,0,2.0
RM1339,30,26-35,Yes,Travel_Rarely,Sales,9,Medical,Poor,Male,1,Sales Representative,Good,Single,1081,Y,No,13,Average,1,1,0,0,0.0
RM1413,30,26-35,No,Travel_Rarely,Research & Development,1,Medical,Good,Male,1,Laboratory Technician,Poor,Married,3748,Y,No,13,Average,12,12,8,1,7.0
RM013,31,26-35,No,Travel_Rarely,Research & Development,26,Life Sciences,Poor,Male,1,Research Scientist,Average,Divorced,2911,Y,No,17,Average,5,5,2,4,3.0
RM059,31,26-35,No,Travel_Rarely,Research & Development,7,Life Sciences,Good,Male,2,Laboratory Technician,Good,Divorced,5915,Y,No,22,Good,10,7,7,1,7.0
RM073,31,26-35,No,Travel_Rarely,Research & Development,1,Medical,Average,Male,1,Research Scientist,Poor,Single,2501,Y,No,17,Average,1,1,1,1,3.0
RM076,31,26-35,No,Travel_Rarely,Research & Development,8,Life Sciences,Average,Female,2,Manufacturing Director,Good,Single,4424,Y,No,23,Good,11,11,7,1,3.0
RM125,31,26-35,Yes,Travel_Rarely,Sales,6,Life Sciences,Poor,Male,2,Sales Executive,Average,Married,6172,Y,Yes,18,Average,12,7,7,7,7.0
RM133,31,26-35,Yes,Travel_Rarely,Sales,20,Life Sciences,Poor,Female,2,Sales Executive,Average,Married,4559,Y,Yes,11,Average,4,2,2,2,2.0
RM181,31,26-35,No,Travel_Rarely,Research & Development,12,Medical,Average,Female,1,Research Scientist,Good,Married,3929,Y,Yes,23,Good,7,4,2,0,2.0
RM225,31,26-35,No,Non_Travel,Research & Development,1,Medical,Average,Male,2,Manufacturing Director,Average,Married,4345,Y,No,12,Average,6,5,4,1,4.0
RM246,31,26-35,No,Travel_Frequently,Research & Development,3,Medical,Poor,Male,3,Research Director,Average,Divorced,13675,Y,No,12,Average,9,2,2,2,2.0
RM260,31,26-35,Yes,Travel_Frequently,Research & Development,29,Medical,Average,Male,1,Laboratory Technician,Poor,Single,3479,Y,No,11,Average,6,5,4,1,4.0
RM267,31,26-35,No,Travel_Rarely,Research & Development,23,Medical,Poor,Male,2,Healthcare Representative,Good,Married,5582,Y,No,21,Good,10,9,0,7,8.0
RM293,31,26-35,No,Travel_Frequently,Sales,5,Marketing,Good,Female,1,Sales Representative,Poor,Divorced,2789,Y,No,11,Average,2,2,2,2,2.0
RM304,31,26-35,No,Travel_Rarely,Sales,7,Technical Degree,Poor,Male,2,Sales Executive,Good,Married,6929,Y,No,11,Average,10,8,7,7,7.0
RM310,31,26-35,No,Travel_Rarely,Research & Development,5,Technical Degree,Average,Male,1,Research Scientist,Good,Married,4821,Y,Yes,12,Average,6,5,2,0,3.0
RM311,31,26-35,No,Travel_Rarely,Human Resources,2,Human Resources,Poor,Male,2,Human Resources,Poor,Married,6410,Y,No,12,Average,9,2,2,1,0.0
RM313,31,26-35,No,Travel_Rarely,Research & Development,2,Life Sciences,Average,Male,1,Research Scientist,Good,Divorced,2695,Y,Yes,18,Average,3,2,2,2,2.0
RM322,31,26-35,No,Travel_Rarely,Sales,7,Marketing,Good,Male,2,Sales Executive,Good,Divorced,7547,Y,No,12,Average,13,7,7,1,7.0
RM326,31,26-35,No,Travel_Frequently,Research & Development,7,Life Sciences,Average,Female,3,Manufacturing Director,Average,Married,8943,Y,No,24,Good,10,10,9,8,9.0
RM343,31,26-35,No,Travel_Rarely,Research & Development,7,Medical,Average,Female,3,Manufacturing Director,Good,Single,7143,Y,Yes,14,Average,11,11,9,4,10.0
RM370,31,26-35,No,Travel_Rarely,Research & Development,9,Life Sciences,Average,Male,1,Research Scientist,Poor,Single,2657,Y,Yes,16,Average,3,2,2,2,2.0
RM395,31,26-35,No,Travel_Rarely,Research & Development,7,Medical,Poor,Female,2,Manufacturing Director,Poor,Married,4306,Y,No,12,Average,13,13,10,3,12.0
RM400,31,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,1,Laboratory Technician,Poor,Married,2218,Y,No,12,Average,4,4,2,3,2.0
RM435,31,26-35,No,Travel_Rarely,Research & Development,9,Life Sciences,Average,Male,3,Manufacturing Director,Poor,Divorced,10648,Y,No,25,Good,13,13,8,0,8.0
RM440,31,26-35,Yes,Travel_Frequently,Research & Development,20,Life Sciences,Poor,Male,3,Healthcare Representative,Average,Married,9824,Y,No,12,Average,12,1,0,0,0.0
RM451,31,26-35,No,Travel_Rarely,Sales,2,Life Sciences,Poor,Male,2,Sales Executive,Good,Single,6582,Y,Yes,13,Average,10,6,5,0,5.0
RM457,31,26-35,No,Travel_Rarely,Sales,7,Life Sciences,Average,Male,3,Manager,Good,Divorced,11557,Y,No,21,Good,10,5,4,0,1.0
RM483,31,26-35,Yes,Travel_Rarely,Sales,13,Medical,Poor,Male,2,Sales Executive,Poor,Divorced,4233,Y,No,17,Average,9,3,1,1,2.0
RM485,31,26-35,No,Travel_Rarely,Sales,6,Medical,Poor,Male,2,Sales Executive,Good,Divorced,5460,Y,No,22,Good,13,7,7,5,7.0
RM645,31,26-35,No,Travel_Rarely,Research & Development,11,Life Sciences,Good,Male,1,Research Scientist,Good,Married,2356,Y,Yes,19,Average,8,6,4,0,2.0
RM676,31,26-35,No,Travel_Rarely,Sales,7,Life Sciences,Poor,Male,1,Sales Representative,Average,Married,2329,Y,No,15,Average,13,7,7,5,2.0
RM680,31,26-35,No,Non_Travel,Sales,20,Marketing,Good,Female,2,Sales Executive,Average,Married,6932,Y,No,13,Average,9,9,8,0,0.0
RM691,31,26-35,No,Travel_Rarely,Research & Development,12,Medical,Good,Female,2,Healthcare Representative,Good,Married,5855,Y,Yes,11,Average,10,9,7,8,5.0
RM710,31,26-35,Yes,Non_Travel,Research & Development,9,Medical,Average,Male,1,Research Scientist,Poor,Single,2321,Y,Yes,22,Good,4,3,2,1,2.0
RM727,31,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,Average,Female,2,Manufacturing Director,Poor,Married,4148,Y,No,12,Average,4,4,3,0,3.0
RM819,31,26-35,No,Travel_Frequently,Sales,20,Life Sciences,Average,Male,1,Sales Representative,Good,Married,2791,Y,No,12,Average,3,2,2,2,2.0
RM832,31,26-35,Yes,Travel_Frequently,Research & Development,15,Medical,Average,Male,1,Laboratory Technician,Average,Married,2610,Y,No,12,Average,2,2,2,2,2.0
RM896,31,26-35,No,Travel_Rarely,Research & Development,11,Medical,Average,Male,2,Healthcare Representative,Poor,Married,6833,Y,Yes,12,Average,6,6,5,0,1.0
RM897,31,26-35,No,Travel_Rarely,Research & Development,24,Medical,Average,Female,2,Healthcare Representative,Poor,Single,6812,Y,No,19,Average,10,10,9,1,8.0
RM951,31,26-35,No,Non_Travel,Sales,2,Life Sciences,Good,Female,3,Sales Executive,Average,Divorced,9852,Y,Yes,19,Average,10,10,8,9,6.0
RM953,31,26-35,Yes,Travel_Frequently,Sales,1,Life Sciences,Good,Female,1,Sales Representative,Poor,Single,2302,Y,Yes,11,Average,3,3,2,2,2.0
RM981,31,26-35,Yes,Travel_Frequently,Sales,2,Life Sciences,Average,Female,1,Sales Representative,Good,Single,2785,Y,No,14,Average,3,1,0,0,0.0
RM986,31,26-35,Yes,Travel_Rarely,Research & Development,22,Medical,Good,Male,2,Manufacturing Director,Average,Married,6179,Y,Yes,15,Average,10,10,2,6,7.0
RM1013,31,26-35,Yes,Travel_Frequently,Sales,1,Life Sciences,Poor,Female,1,Sales Representative,Average,Single,1359,Y,No,12,Average,1,1,0,0,0.0
RM1015,31,26-35,No,Travel_Rarely,Research & Development,8,Life Sciences,Poor,Female,4,Research Director,Poor,Single,16422,Y,No,11,Average,9,3,2,1,0.0
RM1017,31,26-35,Yes,Travel_Rarely,Research & Development,8,Life Sciences,Poor,Female,1,Research Scientist,Poor,Single,1261,Y,No,12,Average,1,1,0,0,0.0
RM1031,31,26-35,No,Travel_Rarely,Sales,8,Life Sciences,Poor,Male,3,Sales Executive,Good,Divorced,10793,Y,No,18,Average,13,13,7,9,9.0
RM1034,31,26-35,Yes,Travel_Frequently,Research & Development,1,Life Sciences,Average,Female,3,Manufacturing Director,Poor,Single,7446,Y,No,11,Average,10,10,8,4,7.0
RM1036,31,26-35,No,Travel_Rarely,Human Resources,8,Medical,Good,Female,1,Human Resources,Poor,Single,2109,Y,No,18,Average,8,3,2,0,2.0
RM1037,31,26-35,Yes,Travel_Frequently,Research & Development,2,Life Sciences,Poor,Male,1,Laboratory Technician,Good,Married,3722,Y,Yes,13,Average,7,2,2,2,2.0
RM1086,31,26-35,Yes,Travel_Frequently,Research & Development,3,Life Sciences,Good,Female,1,Research Scientist,Average,Single,4084,Y,No,12,Average,7,7,2,7,7.0
RM1145,31,26-35,No,Travel_Frequently,Sales,2,Other,Good,Male,2,Sales Executive,Poor,Single,5332,Y,No,13,Average,10,5,2,0,3.0
RM1192,31,26-35,No,Travel_Rarely,Sales,5,Life Sciences,Poor,Female,2,Sales Executive,Good,Married,5476,Y,No,11,Average,10,10,0,0,2.0
RM1228,31,26-35,No,Travel_Rarely,Research & Development,2,Life Sciences,Poor,Male,1,Laboratory Technician,Average,Married,3477,Y,No,14,Average,6,5,2,0,3.0
RM1240,31,26-35,No,Travel_Frequently,Research & Development,24,Technical Degree,Good,Female,2,Manufacturing Director,Good,Single,5238,Y,No,20,Good,9,5,4,1,4.0
RM1248,31,26-35,No,Travel_Rarely,Sales,5,Technical Degree,Poor,Male,2,Sales Executive,Average,Married,8346,Y,No,19,Average,6,5,2,0,2.0
RM1258,31,26-35,Yes,Travel_Rarely,Sales,16,Marketing,Poor,Male,3,Sales Executive,Average,Married,8161,Y,No,13,Average,10,1,0,0,0.0
RM1275,31,26-35,No,Travel_Rarely,Sales,29,Marketing,Poor,Female,2,Sales Executive,Good,Married,5468,Y,No,14,Average,13,12,7,5,7.0
RM1307,31,26-35,No,Travel_Frequently,Sales,7,Marketing,Poor,Female,3,Sales Executive,Poor,Married,9637,Y,No,14,Average,9,3,2,2,2.0
RM1313,31,26-35,Yes,Travel_Rarely,Human Resources,18,Human Resources,Good,Male,1,Human Resources,Poor,Married,2956,Y,No,17,Average,2,1,0,0,0.0
RM1342,31,26-35,No,Travel_Rarely,Research & Development,20,Life Sciences,Poor,Male,2,Laboratory Technician,Average,Divorced,4197,Y,No,11,Average,10,10,8,0,2.0
RM1359,31,26-35,No,Travel_Rarely,Sales,10,Medical,Average,Female,2,Sales Executive,Good,Divorced,6583,Y,Yes,11,Average,8,5,2,1,4.0
RM1361,31,26-35,No,Travel_Rarely,Research & Development,4,Medical,Poor,Female,1,Laboratory Technician,Average,Divorced,3978,Y,No,12,Average,4,2,2,2,2.0
RM1383,31,26-35,No,Non_Travel,Research & Development,3,Medical,Average,Male,1,Research Scientist,Poor,Divorced,3065,Y,Yes,13,Average,4,4,2,2,3.0
RM1390,31,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,Good,Male,2,Research Scientist,Poor,Married,5003,Y,No,21,Good,10,10,8,8,7.0
RM1396,31,26-35,Yes,Travel_Frequently,Sales,26,Marketing,Poor,Male,2,Sales Executive,Good,Married,5617,Y,Yes,11,Average,10,10,7,0,8.0
RM1403,31,26-35,No,Travel_Rarely,Research & Development,2,Medical,Good,Female,1,Laboratory Technician,Good,Divorced,1129,Y,Yes,11,Average,1,1,0,0,0.0
RM1406,31,26-35,No,Non_Travel,Research & Development,10,Medical,Average,Female,3,Research Director,Average,Married,11031,Y,No,20,Good,13,11,7,4,8.0
RM1418,31,26-35,No,Travel_Rarely,Sales,2,Life Sciences,Poor,Male,1,Sales Representative,Average,Married,3067,Y,No,19,Average,3,2,2,1,2.0
RM1464,31,26-35,No,Non_Travel,Research & Development,5,Medical,Poor,Male,2,Manufacturing Director,Poor,Single,9936,Y,No,19,Average,10,9,4,1,7.0
RM006,32,26-35,No,Travel_Frequently,Research & Development,2,Life Sciences,Good,Male,1,Laboratory Technician,Good,Single,3068,Y,No,13,Average,8,7,7,3,6.0
RM017,32,26-35,No,Travel_Rarely,Research & Development,5,Life Sciences,Poor,Male,1,Research Scientist,Poor,Divorced,3298,Y,Yes,12,Average,7,6,2,0,5.0
RM027,32,26-35,Yes,Travel_Frequently,Research & Development,16,Life Sciences,Poor,Female,1,Research Scientist,Poor,Single,3919,Y,Yes,22,Good,10,10,2,6,3.0
RM061,32,26-35,No,Travel_Rarely,Research & Development,1,Medical,Poor,Male,2,Manufacturing Director,Good,Married,6162,Y,Yes,22,Good,9,9,8,7,8.0
RM074,32,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Poor,Male,2,Research Scientist,Poor,Married,6220,Y,No,17,Average,10,10,4,0,3.0
RM095,32,26-35,No,Travel_Rarely,Sales,6,Medical,Poor,Male,2,Sales Executive,Average,Single,5010,Y,No,16,Average,12,11,8,5,7.0
RM102,32,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,1,Research Scientist,Poor,Single,2956,Y,No,13,Average,1,1,0,0,0.0
RM141,32,26-35,Yes,Travel_Rarely,Research & Development,9,Medical,Poor,Female,1,Laboratory Technician,Poor,Single,4200,Y,No,22,Good,10,5,4,0,3.0
RM145,32,26-35,No,Travel_Frequently,Sales,9,Medical,Good,Male,2,Sales Executive,Good,Divorced,4668,Y,No,17,Average,9,8,7,0,3.0
RM155,32,26-35,No,Travel_Frequently,Sales,8,Marketing,Poor,Female,3,Sales Executive,Good,Single,8998,Y,No,14,Average,9,9,8,3,7.0
RM170,32,26-35,No,Travel_Rarely,Research & Development,6,Life Sciences,Average,Male,1,Research Scientist,Average,Single,3038,Y,No,20,Good,8,5,4,1,4.0
RM211,32,26-35,Yes,Travel_Rarely,Sales,4,Medical,Good,Male,3,Sales Executive,Good,Married,10400,Y,No,11,Average,14,14,8,9,3.0
RM239,32,26-35,No,Travel_Rarely,Sales,4,Life Sciences,Average,Female,1,Sales Representative,Poor,Married,3931,Y,No,11,Average,6,4,3,1,2.0
RM240,32,26-35,Yes,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,1,Laboratory Technician,Average,Single,3730,Y,Yes,14,Average,4,3,2,1,2.0
RM242,32,26-35,No,Non_Travel,Sales,26,Marketing,Average,Male,2,Sales Executive,Good,Married,4465,Y,No,18,Average,4,3,2,2,2.0
RM261,32,26-35,No,Travel_Frequently,Research & Development,7,Life Sciences,Poor,Male,1,Laboratory Technician,Poor,Married,2794,Y,No,20,Good,5,5,1,0,3.0
RM263,32,26-35,No,Travel_Rarely,Research & Development,2,Technical Degree,Good,Male,2,Laboratory Technician,Poor,Single,2176,Y,No,13,Average,9,6,2,0,4.0
RM307,32,26-35,No,Travel_Rarely,Sales,7,Life Sciences,Good,Male,2,Sales Executive,Average,Married,5484,Y,No,14,Average,13,13,8,4,8.0
RM320,32,26-35,No,Travel_Rarely,Sales,8,Technical Degree,Average,Female,2,Sales Executive,Poor,Married,5228,Y,Yes,11,Average,13,13,12,11,9.0
RM323,32,26-35,No,Travel_Rarely,Research & Development,2,Medical,Poor,Female,2,Research Scientist,Good,Single,5055,Y,No,16,Average,10,7,7,0,7.0
RM352,32,26-35,No,Travel_Rarely,Research & Development,2,Medical,Average,Female,1,Laboratory Technician,Poor,Married,2370,Y,No,13,Average,8,8,0,0,7.0
RM470,32,26-35,Yes,Non_Travel,Sales,11,Other,Good,Male,2,Sales Executive,Average,Married,4707,Y,No,12,Average,6,4,2,1,2.0
RM501,32,26-35,No,Travel_Rarely,Research & Development,9,Life Sciences,Poor,Female,2,Research Scientist,Good,Married,6322,Y,Yes,12,Average,6,6,4,0,5.0
